Total of 187 directories 
     key    d_min   signal pred_signal
2evr/w1/  5.00   3.790   1.400 
2evr/w1/  5.50   3.440   1.200 
2evr/w1/  6.00   3.090   1.100 
2evr/w2/  1.60  36.890  24.400 
2evr/w2/  2.00  39.960  24.200 
2evr/w2/  2.50  33.140  20.000 
2evr/w2/  3.00  24.830  16.000 
2evr/w2/  3.50  21.430  12.700 
2evr/w2/  4.00  18.290  10.300 
2evr/w2/  4.50  16.510   8.600 
2evr/w2/  5.00  13.870   7.400 
2evr/w2/  5.50  12.010   6.400 
2evr/w2/  6.00   9.920   5.700 
2f4p/w1/  1.90   2.480   2.800 
2f4p/w1/  2.50   2.560   3.100 
2f4p/w1/  3.00   2.550   2.800 
2f4p/w1/  3.50   2.050   2.400 
2f4p/w1/  4.00   1.820   2.000 
2f4p/w1/  4.50   1.480   1.600 
2f4p/w1/  5.00   1.580   1.400 
2f4p/w1/  5.50   1.580   1.200 
2f4p/w1/  6.00   1.430   1.000 
2f4p/w2/  1.90  22.310  18.700 
2f4p/w2/  2.50  23.920  17.600 
2f4p/w2/  3.00  20.420  15.100 
2f4p/w2/  3.50  17.700  12.400 
2f4p/w2/  4.00  14.730  10.200 
2f4p/w2/  4.50  12.420   8.500 
2f4p/w2/  5.00  10.780   7.200 
2f4p/w2/  5.50   9.440   6.200 
2f4p/w2/  6.00   7.900   5.400 
2fea/w1/  2.00   2.790   3.500 
2fea/w1/  2.50   3.580   3.700 
2fea/w1/  3.00   3.730   3.500 
2fea/w1/  3.50   3.400   3.000 
2fea/w1/  4.00   2.950   2.600 
2fea/w1/  4.50   2.140   2.100 
2fea/w1/  5.00   2.040   1.800 
2fea/w1/  5.50   1.900   1.600 
2fea/w1/  6.00   1.600   1.500 
2fea/w2/  2.00  13.740  17.100 
2fea/w2/  2.50  15.750  16.000 
2fea/w2/  3.00  14.440  13.600 
2fea/w2/  3.50  12.430  11.200 
2fea/w2/  4.00  10.570   9.300 
2fea/w2/  4.50   8.630   7.800 
2fea/w2/  5.00   7.390   6.700 
2fea/w2/  5.50   6.420   5.800 
2fea/w2/  6.00   5.820   5.100 
2ffj/w1/  2.45  12.690  12.200 
2ffj/w1/  3.00  14.560  12.200 
2ffj/w1/  3.50  14.830  11.200 
2ffj/w1/  4.00  13.520   9.600 
2ffj/w1/  4.50  12.100   8.200 
2ffj/w1/  5.00  10.760   7.000 
2ffj/w1/  5.50   9.330   6.100 
2ffj/w1/  6.00   7.920   5.500 
2ffj/w2/  2.66   8.270  -1.000 
2ffj/w2/  3.00   8.750  10.200 
2ffj/w2/  3.50   8.940   9.700 
2ffj/w2/  4.00   8.800   8.700 
2ffj/w2/  4.50   8.530   7.400 
2ffj/w2/  5.00   8.120   6.400 
2ffj/w2/  5.50   7.190   5.700 
2ffj/w2/  6.00   6.380   5.200 
2ffj/w3/  2.45   7.930  11.100 
2ffj/w3/  3.00  10.370  11.400 
2ffj/w3/  3.50  11.400  10.500 
2ffj/w3/  4.00  11.090   9.200 
2ffj/w3/  4.50  10.280   7.800 
2ffj/w3/  5.00   9.450   6.700 
2ffj/w3/  5.50   8.400   5.900 
2ffj/w3/  6.00   7.270   5.300 
2fg0/w1/  1.79   3.950   3.400 
2fg0/w1/  2.50   5.110   4.000 
2fg0/w1/  3.00   6.390   4.100 
2fg0/w1/  3.50   6.590   3.700 
2fg0/w1/  4.00   6.440   3.200 
2fg0/w1/  4.50   5.560   2.700 
2fg0/w1/  5.00   5.040   2.300 
