Total of 228 directories 
     key    d_min fraction_found  Signal
2etj/w2/  3.50   0.250   3.760 
2etj/w2/  4.00   0.250   3.340 
2etj/w2/  4.50   0.250   3.200 
2etj/w2/  5.00   0.000   3.420 
2etj/w2/  5.50   0.250   3.030 
2etj/w2/  6.00   0.250   2.630 
2ets/w1/  2.25   1.000  16.850 
2ets/w1/  3.00   1.000  16.290 
2ets/w1/  3.50   1.000  13.740 
2ets/w1/  4.00   1.000  12.170 
2ets/w1/  4.50   1.000  10.110 
2ets/w1/  5.00   1.000   8.830 
2ets/w1/  5.50   1.000   7.890 
2ets/w1/  6.00   1.000   6.880 
2etv/w1/  1.70   1.000  20.440 
2etv/w1/  2.00   1.000  22.880 
2etv/w1/  2.50   1.000  24.010 
2etv/w1/  3.00   1.000  21.220 
2etv/w1/  3.50   1.000  17.640 
2etv/w1/  4.00   1.000  16.500 
2etv/w1/  4.50   1.000  13.780 
2etv/w1/  5.00   0.750  12.420 
2etv/w1/  5.50   1.000  10.530 
2etv/w1/  6.00   0.750   9.540 
2etv/w2/  1.70   1.000  25.620 
2etv/w2/  2.00   1.000  29.310 
2etv/w2/  2.50   1.000  30.310 
2etv/w2/  3.00   1.000  27.130 
2etv/w2/  3.50   1.000  22.460 
2etv/w2/  4.00   1.000  20.450 
2etv/w2/  4.50   1.000  17.100 
2etv/w2/  5.00   1.000  15.170 
2etv/w2/  5.50   1.000  12.680 
2etv/w2/  6.00   1.000  11.730 
2evr/w1/  1.60   0.000   5.380 
2evr/w1/  2.00   0.000   6.280 
2evr/w1/  2.50   0.000   6.360 
2evr/w1/  3.00   0.000   4.940 
2evr/w1/  3.50   0.000   4.640 
2evr/w1/  4.00   0.000   4.570 
2evr/w1/  4.50   0.000   4.230 
2evr/w1/  5.00   0.000   3.790 
2evr/w1/  5.50   0.000   3.440 
2evr/w1/  6.00   0.000   3.090 
2evr/w2/  1.60   1.000  36.890 
2evr/w2/  2.00   1.000  39.960 
2evr/w2/  2.50   1.000  33.140 
2evr/w2/  3.00   1.000  24.830 
2evr/w2/  3.50   1.000  21.430 
2evr/w2/  4.00   1.000  18.290 
2evr/w2/  4.50   1.000  16.510 
2evr/w2/  5.00   1.000  13.870 
2evr/w2/  5.50   1.000  12.010 
2evr/w2/  6.00   1.000   9.920 
2f4p/w1/  1.90   0.250   2.480 
2f4p/w1/  2.50   0.250   2.560 
2f4p/w1/  3.00   0.250   2.550 
2f4p/w1/  3.50   0.250   2.050 
