GET ATOMIC IMAGES OF A CHOSEN RESOLUTION

input file of scattering factors :
    MX_wk1995_6.SF
truncation radius          11.0000
distance grid step          0.0010
resolution cut-off          1.0000
resolution grid number   2000
temperature factor          0.0000
number of atomic types      7
following atomic types are chosen :
    C    N    O    P    S    Fe   Au  

scattering factors file. First line:
following wk1995.cpp from Phenix

table of scattering factors contains data for  213  atomic types
    6 -Gaussian approximation is used
identified positions in the table
    7    8    9   16   17   27   80

     N     dist       C              N              O              P              S              Fe             Au             
   154     0.1540        8.60067308    10.65306924    13.24317782    30.57014329    32.13943536    56.63638513   209.35890109
   155     0.1550        8.59125664    10.64159682    13.22891938    30.53447567    32.10209818    56.57150694   209.11093204
   156     0.1560        8.58178722    10.63005972    13.21458050    30.49860807    32.06455163    56.50626427   208.86157350
   157     0.1570        8.57226496    10.61845813    13.20016140    30.46254107    32.02679632    56.44065815   208.61082949
   158     0.1580        8.56269002    10.60679221    13.18566232    30.42627524    31.98883285    56.37468963   208.35870405
   159     0.1590        8.55306253    10.59506216    13.17108347    30.38981118    31.95066184    56.30835974   208.10520124
   160     0.1600        8.54338266    10.58326815    13.15642507    30.35314947    31.91228389    56.24166954   207.85032516
   161     0.1610        8.53365056    10.57141037    13.14168736    30.31629069    31.87369962    56.17462009   207.59407992
   162     0.1620        8.52386638    10.55948899    13.12687057    30.27923544    31.83490965    56.10721245   207.33646962
   163     0.1630        8.51403026    10.54750421    13.11197491    30.24198431    31.79591460    56.03944769   207.07749844
   164     0.1640        8.50414238    10.53545621    13.09700062    30.20453790    31.75671510    55.97132688   206.81717053
   165     0.1650        8.49420287    10.52334518    13.08194793    30.16689682    31.71731178    55.90285110   206.55549009
   166     0.1660        8.48421190    10.51117130    13.06681707    30.12906165    31.67770526    55.83402143   206.29246133
   167     0.1670        8.47416963    10.49893476    13.05160828    30.09103302    31.63789618    55.76483897   206.02808847
   168     0.1680        8.46407620    10.48663575    13.03632179    30.05281152    31.59788518    55.69530480   205.76237577
   169     0.1690        8.45393178    10.47427446    13.02095783    30.01439778    31.55767289    55.62542003   205.49532750
   170     0.1700        8.44373653    10.46185108    13.00551664    29.97579240    31.51725997    55.55518575   205.22694795
   171     0.1710        8.43349060    10.44936580    12.98999846    29.93699600    31.47664705    55.48460309   204.95724144
   172     0.1720        8.42319416    10.43681882    12.97440353    29.89800921    31.43583479    55.41367316   204.68621228
   173     0.1730        8.41284737    10.42421033    12.95873208    29.85883265    31.39482384    55.34239707   204.41386485
   174     0.1740        8.40245039    10.41154053    12.94298436    29.81946695    31.35361485    55.27077595   204.14020350
   175     0.1750        8.39200338    10.39880960    12.92716061    29.77991273    31.31220849    55.19881093   203.86523262
